pub_date,priority_date,grant_date,filing_date,url
1969-11-18,1966-11-07,1969-11-18,1966-11-07,US3478381A
2003-09-04,2002-02-28,,2003-02-26,WO2003072373A1
1994-07-19,1993-04-29,1994-07-19,1993-04-29,US5330064A
1978-06-20,1976-03-15,1978-06-20,1976-03-15,US4095532A
1978-03-07,1976-12-10,1978-03-07,1976-12-10,US4077087A
1994-09-20,1993-03-02,1994-09-20,1993-03-02,US5348326A
1967-02-14,1965-03-16,1967-02-14,1965-03-16,US3304116A
2002-09-10,2000-01-13,2002-09-10,2000-01-13,US6446283B1
1982-01-12,1979-12-26,1982-01-12,1979-12-26,US4309791A
1988-02-09,1984-07-02,1988-02-09,1984-07-02,US4723808A
1987-07-07,1984-06-21,1987-07-07,1985-06-19,US4677706A
1999-12-07,1997-07-17,1999-12-07,1997-07-17,US5996149A
1993-04-20,1992-07-13,1993-04-20,1992-07-13,US5203149A
2004-07-22,2003-01-22,2007-12-04,2003-01-22,US7302717B2
1999-12-14,1996-10-23,1999-12-14,1996-10-23,US6000076A
1988-12-06,1987-07-17,1988-12-06,1987-08-27,US4788741A
2000-01-07,1998-07-01,2000-09-29,1998-07-01,FR2780638A1
2000-12-26,1998-02-04,2000-12-26,1998-02-04,US6163903A
1956-03-20,1953-06-05,1956-03-20,1953-06-05,US2738539A
1994-04-19,1991-11-16,1994-04-19,1992-11-12,US5303450A
2001-09-04,1998-08-07,2001-09-04,1998-08-07,US6282738B1
2001-06-05,1998-01-07,2001-06-05,1998-01-07,US6240579B1
1984-04-03,1980-12-01,1984-04-03,1980-12-01,US4439879A
1992-08-18,1990-02-06,1992-08-18,1991-02-04,US5139116A
1994-01-18,1992-04-03,1994-01-18,1992-04-03,US5279010A
1993-02-09,1990-12-22,1993-02-09,1991-12-23,US5184373A
1998-09-15,1996-04-12,1998-09-15,1996-04-12,US5806111A
1969-07-01,1967-02-27,1969-07-01,1967-02-27,US3452386A
2002-07-23,2000-02-18,2002-07-23,2000-02-18,US6421854B1
2001-11-13,2000-04-10,2001-11-13,2000-04-10,US6315319B1
1969-11-25,1967-01-25,1969-11-25,1967-01-25,US3479681A
1995-09-19,1993-12-21,1995-09-19,1993-12-21,US5450639A
2001-09-11,2000-01-11,2001-09-11,2000-01-11,US6286165B1
1995-01-03,1993-03-31,1995-01-03,1993-03-31,US5377372A
2000-03-24,1998-09-23,2000-12-15,1998-09-23,FR2783463A1
1970-01-06,1967-04-26,1970-01-06,1967-04-26,US3487495A
1972-01-18,1970-04-17,1972-01-18,1970-04-17,US3635491A
2003-08-29,2002-02-28,2004-12-17,2002-02-28,FR2836375A1
2001-11-27,1999-03-05,2001-11-27,1999-03-05,US6321878B1
2000-06-20,1997-07-14,2000-06-20,1997-07-14,US6076208A
1972-12-12,1970-04-29,1972-12-12,1970-11-09,US3705438A
1979-11-27,1978-02-06,1979-11-27,1978-02-06,US4175783A
2002-01-10,2000-12-29,2004-02-17,2000-12-29,US6691346B2
1996-04-02,1994-03-10,1996-04-02,1994-03-10,US5503416A
1983-05-31,1980-10-06,1983-05-31,1980-10-06,US4385414A
2000-09-08,1999-03-05,,2000-03-02,WO2000051541A2
